"~start_node_id","~start_node_labels","~start_node_property_name","~relationship_type","~end_node_id","~end_node_labels","~end_node_property_published_year","~end_node_property_isbn13","~end_node_property_description","~end_node_property_average_rating","~end_node_property_title","~start_node_property_published_year","~start_node_property_isbn13","~start_node_property_description","~start_node_property_average_rating","~start_node_property_title","~end_node_property_name"
"8","Author","Nikki Giovanni","WROTE","5","Book",2009,"9780061977664","This omnibus covers Nikki Giovanni's complete work of poetry from 1967–1983. THE COLLECTED POETRY OF NIKKI GIOVANNI will include the complete volumes of five adult books of poetry: Black Feeling Black Talk/Black Judgement, My House, The Women and the Men, Cotton Candy on a Rainy Day, and Those Who Ride the Night Winds. Nikki self–published her first book Black Feeling, Black Talk/BlackJudgement in 1969, selling 10,000 copies; William Morrow published in 1970. Know for its iconic revolutionary phrases, it is heralded as one of the most important volumes of modern African–American poetry and is considered the seminal volume of Nikki's body of work. My House (Morrow 1972) marks a new dimension in tone and philosphy––This is Giovanni's first foray into the autobiographical. In The Women and the Men (Morrow 1975), Nikki displays her compassion for the people, things and places she has encountered––She reveres the ordinary and is in search of the extraordinary. Cotton Candy on a Rainy Day (Morrow 1978) is one of the most poignant and introspective of all Giovanni's collections. These poems chronicle the drastic change that took place during the 1970s––when the dreams of the Civil Rights era seemed to have evaporated. Those Who Ride the Night Winds (Morrow 1983) is devoted to 'the day trippers and midnight cowboys,' the ones who have devoted their lives to pushing the limits of the human condition and shattered the constraints of the stautus quo.",0,"The Collected Poetry of Nikki Giovanni",,,,,,
"8","Author","Nikki Giovanni","WROTE","6220","Book",1997,"9780688149895","In a career that has spanned more than a quarter century, Nikki Giovanni has earned the reputation as one of America's most celebrated and contoversial writers.Now, she presents a stunning collection of love poems that includes more than twenty new works. From the revolutionary 'Seduction' to the tender new poem, 'Just a Simple Declaration of Love,' from the whimsical 'I Wrote a Good Omelet' to the elegiac 'All Eyez on U,' written for Tupac Shakur, these poems embody the fearless passion and spirited wit for which Nikki Giovanni is beloved and revered. Romantic, bold, and erotic, Love Poems expresses notions of love in ways that are delightfully unexpected. Articulating in sensuous verse what we know only instinctively, Nikki Giovanni once again confirms her place as one of our nations's most distinguished poets and powerful truth-tellers. In a career that has spanned more than a quarter century, starting with her explosive early years in the Black Rights Movement, Nikki Giovanni has earned a reputation as one of America's most celebrated and controversial writers. Her mind-speaking work has made her a universal favorite and a number-one best-seller.The love poems-the revolutionary 'Seduction,' the whimsical 'I Wrote a Good Omelet,' and the tender 'My House' to name just a few-are among the most beloved of all Nikki Giovanni's works. Now, Love Poems brings together these and other favorites with over twenty new poems. Romantic, bold, and erotic, Love Poems will once again confirm Nikki Giovanni's place among the country's most renowned poets and truth tellers.",4.27,"Love Poems",,,,,,
"8","Author","Nikki Giovanni","WROTE","7656","Book",2005,"9780805071061","Provides the story of the black woman whose refusal to give up her seat on a bus in Alabama set in motion all the events of the civil rights movements that resulted in the end of the segregated South.",4.35,"Rosa",,,,,,
"9","Author","Dana Cameron","WROTE","7","Book",2010,"9780061999420","SUGARPLUMS AND SCANDAL brings together the best of romance and mystery in one delightful collection of Christmas tales. In the expert hands of six of Avon's best storytellers, the holiday season takes on an air of love and scandalous surprises! Filled with Christmas miracles, romance, and suspense, this will make the perfect gift for both romance and mystery fans. Each author brings their own unique voice and characters to the collection, as well as their fan followings. All I Want For Christmas is My Two Front Teeth – Lori Avocato The Lords of Misrule – Dana Cameron The Ghost of Christmas Passed – Mary Daheim Partners in Crime – Cait London Holly Go Lightly – Suzanne Macpherson A Very Vampy Christmas – Kerrelyn Sparks",0,"Sugarplums and Scandal",,,,,,
"10","Author","Mary Daheim","WROTE","7","Book",2010,"9780061999420","SUGARPLUMS AND SCANDAL brings together the best of romance and mystery in one delightful collection of Christmas tales. In the expert hands of six of Avon's best storytellers, the holiday season takes on an air of love and scandalous surprises! Filled with Christmas miracles, romance, and suspense, this will make the perfect gift for both romance and mystery fans. Each author brings their own unique voice and characters to the collection, as well as their fan followings. All I Want For Christmas is My Two Front Teeth – Lori Avocato The Lords of Misrule – Dana Cameron The Ghost of Christmas Passed – Mary Daheim Partners in Crime – Cait London Holly Go Lightly – Suzanne Macpherson A Very Vampy Christmas – Kerrelyn Sparks",0,"Sugarplums and Scandal",,,,,,
"11","Author","Lori Avocato","WROTE","7","Book",2010,"9780061999420","SUGARPLUMS AND SCANDAL brings together the best of romance and mystery in one delightful collection of Christmas tales. In the expert hands of six of Avon's best storytellers, the holiday season takes on an air of love and scandalous surprises! Filled with Christmas miracles, romance, and suspense, this will make the perfect gift for both romance and mystery fans. Each author brings their own unique voice and characters to the collection, as well as their fan followings. All I Want For Christmas is My Two Front Teeth – Lori Avocato The Lords of Misrule – Dana Cameron The Ghost of Christmas Passed – Mary Daheim Partners in Crime – Cait London Holly Go Lightly – Suzanne Macpherson A Very Vampy Christmas – Kerrelyn Sparks",0,"Sugarplums and Scandal",,,,,,
"12","Author","Kerrelyn Sparks","WROTE","7","Book",2010,"9780061999420","SUGARPLUMS AND SCANDAL brings together the best of romance and mystery in one delightful collection of Christmas tales. In the expert hands of six of Avon's best storytellers, the holiday season takes on an air of love and scandalous surprises! Filled with Christmas miracles, romance, and suspense, this will make the perfect gift for both romance and mystery fans. Each author brings their own unique voice and characters to the collection, as well as their fan followings. All I Want For Christmas is My Two Front Teeth – Lori Avocato The Lords of Misrule – Dana Cameron The Ghost of Christmas Passed – Mary Daheim Partners in Crime – Cait London Holly Go Lightly – Suzanne Macpherson A Very Vampy Christmas – Kerrelyn Sparks",0,"Sugarplums and Scandal",,,,,,
"13","Author","Suzanne Macpherson","WROTE","7","Book",2010,"9780061999420","SUGARPLUMS AND SCANDAL brings together the best of romance and mystery in one delightful collection of Christmas tales. In the expert hands of six of Avon's best storytellers, the holiday season takes on an air of love and scandalous surprises! Filled with Christmas miracles, romance, and suspense, this will make the perfect gift for both romance and mystery fans. Each author brings their own unique voice and characters to the collection, as well as their fan followings. All I Want For Christmas is My Two Front Teeth – Lori Avocato The Lords of Misrule – Dana Cameron The Ghost of Christmas Passed – Mary Daheim Partners in Crime – Cait London Holly Go Lightly – Suzanne Macpherson A Very Vampy Christmas – Kerrelyn Sparks",0,"Sugarplums and Scandal",,,,,,
"16","Author","Adam Ginsberg","WROTE","14","Book",2010,"9780062032720","A lively insider's guide to starting a successful small business selling items old and new on eBay, written with personal anecdotes, well–kept secrets, and insider tips by Adam Ginsberg, eBay's most successful private salesperson. This is the insider's guide to making money on eBay. Adam Ginsberg is the most successful seller on eBay, moving around a million dollars' worth of merchandise every month. Not only will he impart his personal secrets on how to sell on eBay –learned through years of experience – and his tips on expanding your small business using eBay as a global market, but he'll also give fun side–notes and anecdotes, keeping the book lively and making it a fun and interesting read. This book will be a must–have for all current and aspiring eBay sellers, all small–business owners, and anyone who wants to learn how to start a million–dollar company.",0,"How to Buy, Sell, and Profit on eBay",,,,,,
"18","Author","Robert A. Johnson","WROTE","15","Book",1993,"9780062507549","A bestselling author shows how we can reclaim and make peace with the 'shadow' side of our personality.",4.07,"Owning Your Own Shadow",,,,,,
"20","Author","Huston Smith","WROTE","17","Book",1991,"9780062508119","Provides an introduction to Hinduism, Buddhism, Confucianism, Taoism, Islam, Judaism, Christianity, and the native traditions of the Americas, Australia, Africa, and Oceania",4.07,"The World's Religions",,,,,,
"20","Author","Huston Smith","WROTE","8186","Book",2003,"9780835608305","This new edition of critically acclaimed essays explores possible breakthroughs in the direction of reaching a liberated and enlightened consciousness. With a new preface and new final chapter. An invaluable collection of essays by the foremost religious writer in America today.",4.21,"Beyond the Postmodern Mind",,,,,,
"23","Author","Epictetus","WROTE","21","Book",1994,"9780062511119","The essence of perennial Stoic wisdom in aphorisms of stunning insight and simplicity. The West's first and best little instruction book offers thoroughly contemporary and pragmatic reflections on how best to live with serenity and joy.",4.22,"A Manual for Living",,,,,,
"23","Author","Epictetus","WROTE","5904","Book",1967,"9780674992405","These volumes contain the teachings ('Discourses') of the slave-philosopher Epictetus (55 A.D-135 AD). Also included in volume 2 are 'Fragments', additional pieces from other (now lost) books of the 'Discourses'; and 'The Encheirdion', a collection of practical precepts for stoicism which can be seen as a handbook for life.",4.35,"Epictetus",,,,,,
"23","Author","Epictetus","WROTE","8555","Book",1983,"9780915145690","From the Introduction: 'Stoic philosophy, of which Epictetus (c. a.d. 50-130) is a representative, began as a recognizable movement around 300 b.c. Its founder was Zeno of Cytium (not to be confused with Zeno of Elea, who discovered the famous paradoxes). He was born in Cyprus about 336 b.c., but all of his philosophical activity took place in Athens. For more than 500 years Stoicism was one of the most influential and fruitful philosophical movements in the Graeco-Roman world. The works of the earlier Stoics survive only in fragmentary quotations from other authors, but from the Renaissance until well into the nineteenth century, Stoic ethical thought was one of the most important ancient influences on European ethics, particularly because of the descriptions of it by Cicero, through surviving works by the Stoics Seneca, Marcus Aurelius, and also Epictetus--and also because of the effect that it had had in antiquity, and continued to have into the nineteenth century, on Christian ethical views. Nowadays an undergraduate or graduate student learning about ancient philosophy in a university course may well hear only about Plato and Aristotle, along perhaps with the presocratics; but in the history of Western thought and education this situation is somewhat atypical, and in most periods a comparable student would have learned as much or more about Stoicism, as well as two other major ancient philosophical movements, Epicureanism and Scepticism. In spite of this lack of explicit acquaintance with Stoic philosophers and their works, however, most students will recognize in Epictetus various ideas that are familiar through their effects on other thinkers, notably Spinoza, in our intellectual tradition.'",4.22,"The Handbook (The Encheiridion)",,,,,,
"26","Author","Rosita Arvigo","WROTE","25","Book",2001,"9780062516374","Rainforest Healing from Your Home and Garden Find alternatives to chemical anti-depressants and painkillers in your spice rack. Learn about natural anti-itch salves for insect bites. Soothe and relieve envy, grief, sadness, and fear the Maya way. Rid your house of negative energy with a Maya cleansing ritual. Try the easy-to-make bronchitis remedy.",4.12,"Rainforest Home Remedies",,,,,,
"28","Author","Nadine Epstein","WROTE","25","Book",2001,"9780062516374","Rainforest Healing from Your Home and Garden Find alternatives to chemical anti-depressants and painkillers in your spice rack. Learn about natural anti-itch salves for insect bites. Soothe and relieve envy, grief, sadness, and fear the Maya way. Rid your house of negative energy with a Maya cleansing ritual. Try the easy-to-make bronchitis remedy.",4.12,"Rainforest Home Remedies",,,,,,
"30","Author","Madeleine L'Engle","WROTE","27","Book",1984,"9780062545039","This journal shares fruitful reflections on life and career prompted by the author's visit to her personal place of retreat near her country home.",4.21,"A Circle of Quiet",,,,,,
"30","Author","Madeleine L'Engle","WROTE","4022","Book",1990,"9780440208143","A quiet visit with her grandparents turns into a lesson in the fluidity of time for Polly O'Keefe when she meets several strangers from overlapping temporal planes and, with them, plays a key role in a prehistoric confrontation.",3.82,"An Acceptable Time",,,,,,
"30","Author","Madeleine L'Engle","WROTE","4033","Book",1998,"9780440227700","'Sandy and Dennys, twins and middle children in the Newbery-winning 'A Wrinkle in Time,' are transported to the time just before the Flood. . .This will be enjoyed for its suspense and humor as well as its other levels of meaning.' --Pointer, 'Kirkus Reviews ' 'L'Engle blends speculative fiction with biblical theology to create another provocative spellbinding tale.' --'Philadelphia Inquirer'",3.99,"Many Waters",,,,,,
"30","Author","Madeleine L'Engle","WROTE","4105","Book",1973,"9780440498056","A midnight visitor escorts Meg, Calvin, and Charles across the barriers of space and time to another world.",4.01,"A Wrinkle in Time",,,,,,
"30","Author","Madeleine L'Engle","WROTE","4120","Book",1995,"9780440910817","During the summer her grandfather is dying of leukemia and death seems all around, 15-year-old Vicky finds comfort with the pod of dolphins with which she has been doing research. Copyright © Libri GmbH. All rights reserved.",4.15,"A Ring of Endless Light",,,,,,
"30","Author","Madeleine L'Engle","WROTE","4122","Book",1985,"9780440936855","Drawn to the wealthy and brilliant artist Maximiliana Horne and grateful for her stimulating education at Max's direction, sixteen-year-old Polly finds herself suddenly and inexplicably betrayed by her idol.",3.76,"A House Like a Lotus",,,,,,
"30","Author","Madeleine L'Engle","WROTE","6466","Book",2003,"9780739439708","Blending magic with quantum physics, Madeleine L'Engles's novels have mesmerized generations of readers. Rediscover these well-loved classics in our exclusive 4-in-1 omnibus edition. A Wrinkle in Time / A Wind in the Door / A Swiftly Tilting Planet.",4.35,"Time Quartet",,,,,,
"30","Author","Madeleine L'Engle","WROTE","8407","Book",1999,"9780877880202","The Austins have a full house on Christmas Eve when fate brings them a new mother and a young woman who is expecting.",3.99,"A Full House",,,,,,
"30","Author","Madeleine L'Engle","WROTE","8409","Book",1993,"9780877887263","We are all strangers in a strange land, longing for home, but not quite knowing what or where home is. We glimpse it sometimes in our dreams, or as we turn a corner, and suddenly there is a strange, sweet familiarity that vanishes almost as soon as it comes… –Madeleine L’Engle, from The Rock That Is Higher Story captures our hearts and feeds our imaginations. It reminds us who we are and where we came from. Story gives meaning and direction to our lives as we learn to see it as an affirmation of God’s love and truth–an acknowledgment of our longing for a rock in the midst of life’s wilderness. Drawing upon her own experiences, well-known tales in literature, and selected narratives from Scripture, Madeleine L’Engle gently leads the way into the glorious world of story in The Rock That Is Higher. Here she acknowledges universal human longings and considers how literature, Scripture, personal stories, and life experiences all point us toward our true home.",4.13,"The Rock that is Higher",,,,,,
"32","Author","Richard P. Martin","WROTE","29","Book",1991,"9780062700254","A beautiful gift edition of Thomas Bulfinch's classic retelling of famous myths and folk legends, with interpretive essays by Princeton classics professor Richard P. Martin.",4.1,"Bulfinch's Mythology",,,,,,
"35","Author","Hugh Honour","WROTE","31","Book",1979,"9780064300896","A study of the influence Romanticism exerts upon Western culture.",3.73,"Romanticism",,,,,,
"35","Author","Hugh Honour","WROTE","374","Book",2005,"9780131935075","This new edition is an authoritative and provides a balanced account of the history of art. It presents art history as an essential part of the development of humankind, encompassing the arts of Asia, Africa, Oceania, Europe, and the Americas-spanning from the primitive art of hunters 30,000 years ago to the most controversial art forms of today.",3.82,"The Visual Arts",,,,,,
"38","Author","Maud Hart Lovelace","WROTE","34","Book",1993,"9780064400961","Best Friends Forever There are lots of children on Hill Street, but no little girls Betsy's age. So when a new family moves into the house across the street, Betsy hopes they will have a little girl she can play with. Sure enough, they do—a little girl named Tacy. And from the moment they meet at Betsy's fifth birthday party, Betsy and Tacy becoms such good friends that everyone starts to think of them as one person—Betsy-Tacy. Betsy and Tacy have lots of fun together. They make a playhouse from a piano box, have a sand store, and dress up and go calling. And one day, they come home to a wonderful surprise—a new friend named Tib. Ever since their first publication in the 1940's, the Betsy-Tacy stories have been loved by each generation of young readers.",4.07,"Betsy-Tacy",,,,,,
"38","Author","Maud Hart Lovelace","WROTE","37","Book",1993,"9780064400992","Betsy, Tacy, and Tib can't wait to be ten. After all, getting two numbers in your age is the beginning of growing up—exciting things are bound to happen. And they do! The girls fall in love with the King of Spain, perform in the School Entertainment, and for the first time, go all the way over the Big Hill to Little Syria by themselves. There Betsy, Tacy, and Tib make new friends and learn a thing or two. They learn that new Americans are sometimes the best Americans. And they learn that they themselves wouldn't want to be anything else. Ever since their first publication in the 1940s, the Betsy-Tacy stories have been loved by each generation of young readers.",4.17,"Betsy and Tacy Go Over the Big Hill",,,,,,
"38","Author","Maud Hart Lovelace","WROTE","39","Book",1945,"9780064401104","A novel about the active lives of two rather different high school freshmen in 1906.",4.29,"Heaven to Betsy",,,,,,
"38","Author","Maud Hart Lovelace","WROTE","52","Book",1996,"9780064405447","Betsy marries Joe, her high school sweetheart, and they have all the problems of young newlyweds, in a sixtieth anniversary edition of a beloved story which includes a new biographical section and a new forward. Original.",4.31,"Betsy's Wedding",,,,,,
"38","Author","Maud Hart Lovelace","WROTE","53","Book",1996,"9780064405454","In January 1914, with an unsuccessful college experience and a broken romance with Joe behind her, twenty-one-year-old Betsy, traveling alone for the first time, determines to enjoy every moment of her long trip around Europe.",4.13,"Betsy and the Great World",,,,,,
"38","Author","Maud Hart Lovelace","WROTE","54","Book",1995,"9780064405461",,4.31,"Betsy and Joe",,,,,,
"38","Author","Maud Hart Lovelace","WROTE","55","Book",1995,"9780064405478","A small town shortly after the turn of the century provides the background for this account of Betsy's third year at Deep Valley High. Reissue.",4.17,"Betsy Was a Junior",,,,,,
"38","Author","Maud Hart Lovelace","WROTE","66","Book",2000,"9780064408585","After graduating high school, Emily Webster longs to go off to university with everyone else, but she must stay at home and take care of her grandfather, a Civil War veteran, and it is at home that she discovers many new adventures. Reprint.",4.23,"Emily of Deep Valley",,,,,,
"38","Author","Maud Hart Lovelace","WROTE","8382","Book",1992,"9780873512695","'Young Deedee DuGay knew everyone at Fort Snelling in the 1830s ... On an island in the Mississippi, near yet remote, lived Jasper Page, the leading fur trader in the territory ... And although he was far above her in social class, Deedee dared to love him. Their story is a rich and romantic re-creation of an important time in Minnesota history ... A new introduction compares the fictional Jasper Page to Henry H. Sibley, fur trader and first governor of Minnesota, upon whom the character was based'--Back cover.",3.66,"Early Candlelight",,,,,,
"42","Author","Rose Wilder Lane","WROTE","40","Book",1985,"9780064401586","A young pioneer couple homesteading in the Dakotas are beset with hardships and misfortune.",3.96,"Let the Hurricane Roar",,,,,,
"45","Author","Bill Brittain","WROTE","41","Book",1986,"9780064401685","When a strange little man comes to the Coven Tree Church Social promising he can give people exactly what they ask for, three young believers-in-magic each make a wish that comes true in the most unexpected way.",3.83,"The Wish Giver",,,,,,
"47","Author","Jane Leslie Conly","WROTE","44","Book",1988,"9780064402453","‘Racso, a brash and boastful little rodent, is making his way to Thorn Valley, determined to learn how to read and write and become a hero. His bragging and lies get him off to a bad start, but a crisis gives him the opportunity to prove his mettle. A worthy successor [to Mrs. Frisby and the Rats of NIMH, a Newbery Medal winner by the author's father].' 'BL. 1986 Children's Editors' Choices (BL) Children's Choices for 1987 (IRA/CBC) Notable 1986 Childrens' Trade Books in Social Studies (NCSS/CBC) 1986 Children's Books (NY Public Library) Best Science Fiction/Fantasy 1986 (VOYA)",3.76,"Racso and the Rats of NIMH",,,,,,
"47","Author","Jane Leslie Conly","WROTE","48","Book",1991,"9780064403870","When Margaret and her younger brother, Artie, get lost in the woods on a family camping trip, they are rescued by rats -- the superintelligent rats of NIMH. Taken into the rat's community, the children are safe for the time being. But winter is coming. Margaret and Artie have to get back home. And when they do, they must protect the rats who have helped them. Everything depends on their silence... but it's hard to evade questions forever. Children's Choices for 1991 (IRA/CBC)VOYA's Best Science Fiction, Fantasy, and Horror 1990Parenting Honorable Mention, Reading Magic Award",3.52,"R-T, Margaret, and the Rats of NIMH",,,,,,
"47","Author","Jane Leslie Conly","WROTE","56","Book",1995,"9780064405713","Increasingly alienated from his widowed father, Vernon joins his friends in ridiculing the neighborhood outcasts'Maxine, an alcoholic prone to outrageous behavior, and Ronald, her retarded son. But when a social service agency tries to put Ronald into a special home, Vernon fights against the move. 1994 Newbery Honor Book Notable Children's Books of 1994 (ALA) 1994 Best Books for Young Adults (ALA) 1994 Young Adult Editors' Choices (BL) 1994 Books for the Teen Age (NY Public Library) Young Adult Choices for 1995 (IRA)",3.64,"Crazy Lady!",,,,,,
"49","Author","Laurence Yep","WROTE","46","Book",1990,"9780064403368","Twelve-year-old Casey is waiting for the day that Barney, her father, hits it big -- 'cause when that horse comes in, he tells her, it's the penthouse suite. But then hr ends up in the hospital, and Casey is sent to Chinatown to live with her grandmother, Paw-Paw. Now the waiting seems longer than ever. Casey feels lost in Chinatown. She's not prepared for the Chinese school, the noisy crowds, missing her father. But Paw-Paw tells her about the mother Casey never knew, and about her family's owl charm and her true Chinese name. And Casey at last begins to understand that this -- Paw-Paw's Chinatown home, her parents' home -- is her home,too.",3.6,"Child of the Owl",,,,,,
